City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tiksi,71.6872,128.8694,-30.46,97,100,3.31,RU,1738796962
83,caleta de carquin,-11.0925,-77.6267,23.15,77,83,3.17,PE,1738796963
84,burang,30.25,81.1667,-19.32,43,36,3.65,CN,1738796965
85,hithadhoo,-0.6,73.0833,27.57,66,28,5.73,MV,1738796968
86,lihue,21.9789,-159.3672,24.85,69,0,4.12,US,1738796970
87,oriximina,-1.7656,-55.8661,27.54,70,71,1.67,BR,1738796854
88,addiet canna,11.2667,37.4833,16.62,43,21,2.68,ET,1738796974
89,kapa'a,22.0752,-159.319,25.26,73,0,4.12,US,1738796975
90,hamilton,39.1834,-84.5333,0.99,91,100,5.66,US,1738796977
91,punta arenas,-53.15,-70.9167,13.06,58,100,3.09,CL,1738796979
92,ribas do rio pardo,-20.4431,-53.7592,23.38,87,98,2.54,BR,1738796980
93,west island,-12.1568,96.8225,27.99,89,20,6.69,CC,1738796950
94,pisco,-13.7,-76.2167,24.03,83,20,8.23,PE,1738796983
95,tazovsky,67.4667,78.7,-19.67,98,59,2.82,RU,1738796984
96,la ronge,55.1001,-105.2842,-16.48,89,100,2.91,CA,1738796986
97,puerto ayora,-0.7393,-90.3518,25.86,93,24,1.79,EC,1738796987
98,les anglais,18.3054,-74.2197,24.14,73,77,0.17,HT,1738796990
99,constantia,44.1833,28.65,-2.39,65,16,5.8,RO,1738796991
100,santa ana de yacuma,-13.75,-65.4333,30.97,66,75,2.06,BO,1738796993
101,katsuura,35.1333,140.3,4.35,54,48,8.52,JP,1738796882
102,lebu,-37.6167,-73.65,17.51,86,2,6.56,CL,1738796995
103,taltal,-25.4,-70.4833,20.39,80,33,2.24,CL,1738796997
104,vadso,70.0744,29.7487,-3.91,86,100,7.72,NO,1738796998
105,mariental,-24.6333,17.9667,22.4,68,92,3.01,,1738797000
106,stanley,54.868,-1.6985,-0.82,90,0,2.06,GB,1738797001
107,new norfolk,-42.7826,147.0587,19.95,49,52,1.15,AU,1738797003
108,porto velho,-8.7619,-63.9039,26.03,83,0,0.51,BR,1738796745
109,port mathurin,-19.6833,63.4167,26.83,78,2,2.63,MU,1738797007
110,karratha,-20.7377,116.8463,30.57,69,59,3.95,AU,1738797009
111,pitiquito,30.7,-112.0833,26.75,11,0,3.01,MX,1738797011
112,douglas,41.3,-96.167,-2.6,93,100,2.57,US,1738797012
113,hohhot,40.8106,111.6522,-14.55,65,66,0.17,CN,1738797014
114,mata-utu,-13.2816,-176.1745,28.68,66,69,2.6,WF,1738796979
115,gazli,40.1333,63.45,4.03,55,3,4.77,UZ,1738797017
116,kamina,-8.7386,24.9906,18.75,94,100,1.85,CD,1738797021
117,jieshi,22.8134,115.8257,14.82,68,100,7.48,CN,1738797022
118,saipan,15.1355,145.701,30.39,73,0,6.69,MP,1738797024
119,sisimiut,66.9395,-53.6735,-22.78,95,97,1.65,GL,1738797025
120,fort saskatchewan,53.7168,-113.2187,-18.46,90,100,2.84,CA,1738797027
121,ayvalik,39.3191,26.6954,6.46,67,6,3.79,TR,1738797028
122,bel ombre,-4.6167,55.4167,27.08,73,72,2.44,SC,1738797029
123,antonio enes,-16.2325,39.9086,23.87,85,94,3.01,MZ,1738797030
124,kassala,15.451,36.4,25.78,52,0,3.07,SD,1738797031
125,nouadhibou,20.931,-17.0347,17.29,76,0,10.41,MR,1738797033
126,moultrie,31.1799,-83.7891,22.94,68,100,0.0,US,1738797025
127,chios,38.3678,26.1358,5.05,61,53,8.86,GR,1738797037
128,port lincoln,-34.7333,135.8667,19.8,72,0,3.67,AU,1738797038
